symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent
ETHUSDT,normal,유동성 충분,12161828559.0,0.0005995850871191678,610917.81861,1668.04,2025-04-14 21:17:30,22,1245078.6818181819,3208626.17,555324.03,2.1609090909090907
TONUSDT,low,"주문장 깊이(74,474.03 USD)가 기준치(500,000 USD) 미만",83270142.86491,0.003497237182633106,74474.02853000001,2.8602,2025-04-14 21:17:30,7,618915.2814285716,1041567.21,89447.34,1.4142857142857141
XRPUSDT,normal,유동성 충분,1864510173.384,0.0046461924453008886,2599589.70763,2.1522,2025-04-14 21:17:31,23,1032971.1917391303,2751831.55,474034.6,2.8365217391304345
SUIUSDT,low,"주문장 깊이(483,355.53 USD)가 기준치(500,000 USD) 미만",634917466.56554,0.004300705315661746,483355.52504999994,2.3261,2025-04-14 21:17:32,10,738350.5900000001,1544049.44,136130.75,4.426
ENAUSDT,normal,유동성 충분,240011528.479,0.03183699458770741,1930798.2935000001,0.3142,2025-04-14 21:17:32,8,853045.7599999999,1245287.94,-13279.39,-1.0187500000000003
BTCUSDT,normal,유동성 충분,18380911542.03,0.0001179853296938031,1372288.0050000001,84765.7,2025-04-14 21:17:33,22,1047727.0027272728,3571444.88,435888.0299999999,1.2168181818181818
WIFUSDT,normal,유동성 충분,236241246.38533,0.022522522522520044,1066097.13315,0.4444,2025-04-14 21:17:34,15,658865.232,1359878.92,-37397.0,-0.27066666666666633
NEIROUSDT,low,"주문장 깊이(465,352.21 USD)가 기준치(500,000 USD) 미만",47727980.8256639,0.05431830526887693,465352.21041010006,0.0001842,2025-04-14 21:17:34,10,418813.585,794748.26,-111034.81999999999,-2.034
EIGENUSDT,low,"주문장 깊이(105,478.09 USD)가 기준치(500,000 USD) 미만",17122373.02817,0.023733238400377117,105478.09443,0.8438,2025-04-14 21:17:35,3,490717.6400000001,726986.9,-55821.6,-2.7733333333333334
DOGEUSDT,normal,유동성 충분,863467855.53377,0.00604631477113625,3080530.37371,0.16549,2025-04-14 21:17:35,6,654550.9316666668,1079716.08,-11493.57,0.36500000000000005
1000PEPEUSDT,low,"주문장 깊이(85,050.82 USD)가 기준치(500,000 USD) 미만",842364996.8449045,0.0013263127180162802,85050.81597709999,0.0075402,2025-04-14 21:17:36,3,548994.3733333334,759464.26,-21407.58,1.3
SOLUSDT,normal,유동성 충분,3957576995.7051,0.007536930961705536,6420677.3356,132.75,2025-04-14 21:17:37,41,1086256.294390244,2695023.85,600758.35,1.3153658536585366
